,date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,pk,pkatt,season,team,xg,xga
2,2021-08-16,19:15,Süper Lig,Matchweek 1,Mon,Away,W,5,1,Yeni Mal'spor,60.0,,Uğurcan Çakır,4-3-3,Atilla Karaoğlan,Match Report,,14.0,8.0,,1,1,2022,Trabzonspor,,
4,2021-08-23,19:15,Süper Lig,Matchweek 2,Mon,Home,W,2,1,Sivasspor,53.0,,Uğurcan Çakır,4-2-3-1,Abdulkadir Bitigen,Match Report,,14.0,6.0,,1,1,2022,Trabzonspor,,
6,2021-08-29,21:45,Süper Lig,Matchweek 3,Sun,Away,W,1,0,Giresunspor,54.0,,Uğurcan Çakır,4-2-3-1,Ali Şansalan,Match Report,,13.0,5.0,,0,0,2022,Trabzonspor,,
7,2021-09-12,20:00,Süper Lig,Matchweek 4,Sun,Home,D,2,2,Galatasaray,62.0,,Uğurcan Çakır,4-2-3-1,Ali Palabıyık,Match Report,,19.0,6.0,,0,0,2022,Trabzonspor,,
8,2021-09-18,16:00,Süper Lig,Matchweek 5,Sat,Away,W,1,0,Kasımpaşa,55.0,,Uğurcan Çakır,4-2-3-1,Mete Kalkavan,Match Report,,12.0,9.0,,0,0,2022,Trabzonspor,,
9,2021-09-23,17:00,Süper Lig,Matchweek 6,Thu,Away,D,2,2,Konyaspor,39.0,,Uğurcan Çakır,4-2-3-1,Halil Umut Meler,Match Report,,14.0,5.0,,0,0,2022,Trabzonspor,,
10,2021-09-27,20:00,Süper Lig,Matchweek 7,Mon,Home,D,1,1,Alanyaspor,67.0,,Uğurcan Çakır,4-2-3-1,Halis Özkahya,Match Report,,19.0,7.0,,0,0,2022,Trabzonspor,,
11,2021-10-02,16:00,Süper Lig,Matchweek 8,Sat,Away,W,2,1,Kayserispor,49.0,,Uğurcan Çakır,4-2-3-1,Tugay Kaan Numanoğlu,Match Report,,16.0,6.0,,1,1,2022,Trabzonspor,,
12,2021-10-17,19:00,Süper Lig,Matchweek 9,Sun,Home,W,3,1,Fenerbahçe,73.0,,Uğurcan Çakır,4-3-3,Ali Şansalan,Match Report,,20.0,7.0,,1,1,2022,Trabzonspor,,
13,2021-10-23,19:00,Süper Lig,Matchweek 10,Sat,Away,W,1,0,Göztepe,57.0,,Uğurcan Çakır,4-2-3-1,Atilla Karaoğlan,Match Report,,6.0,1.0,,0,0,2022,Trabzonspor,,
14,2021-10-29,20:00,Süper Lig,Matchweek 11,Fri,Home,W,2,1,Rizespor,62.0,,Uğurcan Çakır,4-2-3-1,Halil Umut Meler,Match Report,,12.0,4.0,,1,1,2022,Trabzonspor,,
15,2021-11-06,19:00,Süper Lig,Matchweek 12,Sat,Away,W,2,1,Beşiktaş,46.0,,Uğurcan Çakır,4-2-3-1,Erkan Özdamar,Match Report,,8.0,4.0,,0,0,2022,Trabzonspor,,
16,2021-11-22,20:00,Süper Lig,Matchweek 13,Mon,Home,W,3,0,Gaziantep FK,49.0,,Abdülkadir Ömür,4-2-3-1,Suat Arslanboga,Match Report,,11.0,5.0,,0,0,2022,Trabzonspor,,
17,2021-11-28,16:00,Süper Lig,Matchweek 14,Sun,Away,W,2,0,Fatih Karagümrük,36.0,,Uğurcan Çakır,4-2-3-1,Cüneyt Çakιr,Match Report,,9.0,2.0,,1,1,2022,Trabzonspor,,
18,2021-12-04,16:00,Süper Lig,Matchweek 15,Sat,Home,W,2,0,Adana Demirspor,54.0,,Uğurcan Çakır,4-2-3-1,Fırat Aydınus,Match Report,,5.0,3.0,,0,0,2022,Trabzonspor,,
19,2021-12-11,19:00,Süper Lig,Matchweek 16,Sat,Away,L,1,2,Antalyaspor,61.0,,Uğurcan Çakır,4-2-3-1,Zorbay Küçük,Match Report,,12.0,5.0,,0,0,2022,Trabzonspor,,
20,2021-12-18,16:00,Süper Lig,Matchweek 17,Sat,Home,W,2,0,Hatayspor,59.0,,Uğurcan Çakır,4-2-3-1,Yaşar Kemal Uğurlu,Match Report,,17.0,9.0,,0,0,2022,Trabzonspor,,
21,2021-12-21,20:00,Süper Lig,Matchweek 18,Tue,Away,W,2,1,Altay,70.0,,Uğurcan Çakır,4-1-4-1,Ali Şansalan,Match Report,,15.0,5.0,,0,0,2022,Trabzonspor,,
22,2021-12-25,19:00,Süper Lig,Matchweek 19,Sat,Home,D,0,0,Başakşehir,58.0,,Uğurcan Çakır,4-1-4-1,Halil Umut Meler,Match Report,,11.0,4.0,,0,0,2022,Trabzonspor,,
23,2022-01-07,20:00,Süper Lig,Matchweek 20,Fri,Home,W,1,0,Yeni Mal'spor,71.0,,Uğurcan Çakır,4-2-3-1,Fırat Aydınus,Match Report,,24.0,7.0,,0,0,2022,Trabzonspor,,
24,2022-01-15,16:00,Süper Lig,Matchweek 21,Sat,Away,D,1,1,Sivasspor,57.0,,Uğurcan Çakır,4-2-3-1,Mete Kalkavan,Match Report,,10.0,3.0,,0,0,2022,Trabzonspor,,
25,2022-01-19,20:00,Süper Lig,Matchweek 22,Wed,Home,D,1,1,Giresunspor,62.0,,Uğurcan Çakır,4-2-3-1,Alper Ulusoy,Match Report,,23.0,9.0,,0,1,2022,Trabzonspor,,
26,2022-01-23,19:00,Süper Lig,Matchweek 23,Sun,Away,W,2,1,Galatasaray,48.0,,Uğurcan Çakır,4-2-3-1,Atilla Karaoğlan,Match Report,,19.0,5.0,,0,0,2022,Trabzonspor,,
27,2022-02-05,16:00,Süper Lig,Matchweek 24,Sat,Home,W,1,0,Kasımpaşa,45.0,,Uğurcan Çakır,4-2-3-1,Zorbay Küçük,Match Report,,7.0,4.0,,0,0,2022,Trabzonspor,,
28,2022-02-13,19:00,Süper Lig,Matchweek 25,Sun,Home,W,2,1,Konyaspor,46.0,,Uğurcan Çakır,4-2-3-1,Mete Kalkavan,Match Report,,15.0,6.0,,0,0,2022,Trabzonspor,,
29,2022-02-20,16:00,Süper Lig,Matchweek 26,Sun,Away,W,4,0,Alanyaspor,41.0,,Uğurcan Çakır,4-2-3-1,Halil Umut Meler,Match Report,,17.0,6.0,,0,0,2022,Trabzonspor,,
30,2022-02-25,20:00,Süper Lig,Matchweek 27,Fri,Home,W,3,2,Kayserispor,71.0,,Uğurcan Çakır,4-2-3-1,Erkan Özdamar,Match Report,,22.0,10.0,,1,1,2022,Trabzonspor,,
31,2022-03-06,19:00,Süper Lig,Matchweek 28,Sun,Away,D,1,1,Fenerbahçe,59.0,,Uğurcan Çakır,4-1-4-1,Zorbay Küçük,Match Report,,17.0,3.0,,0,0,2022,Trabzonspor,,
32,2022-03-12,19:00,Süper Lig,Matchweek 29,Sat,Home,W,4,2,Göztepe,56.0,,Uğurcan Çakır,4-2-3-1,Ali Şansalan,Match Report,,16.0,10.0,,0,0,2022,Trabzonspor,,
33,2022-03-18,20:00,Süper Lig,Matchweek 30,Fri,Away,L,2,3,Rizespor,61.0,,Abdülkadir Ömür,4-2-3-1,Volkan Bayarslan,Match Report,,10.0,3.0,,0,0,2022,Trabzonspor,,
34,2022-04-03,20:30,Süper Lig,Matchweek 31,Sun,Home,D,1,1,Beşiktaş,52.0,,Uğurcan Çakır,4-1-4-1,Zorbay Küçük,Match Report,,8.0,2.0,,0,0,2022,Trabzonspor,,
35,2022-04-09,20:30,Süper Lig,Matchweek 32,Sat,Away,D,0,0,Gaziantep FK,67.0,,Uğurcan Çakır,4-2-3-1,Erkan Özdamar,Match Report,,19.0,5.0,,0,0,2022,Trabzonspor,,
36,2022-04-15,20:30,Süper Lig,Matchweek 33,Fri,Home,D,1,1,Fatih Karagümrük,63.0,,Uğurcan Çakır,4-2-3-1,Halil Umut Meler,Match Report,,30.0,6.0,,0,0,2022,Trabzonspor,,
37,2022-04-23,20:30,Süper Lig,Matchweek 34,Sat,Away,W,3,1,Adana Demirspor,36.0,,Uğurcan Çakır,4-1-4-1,Yaşar Kemal Uğurlu,Match Report,,11.0,6.0,,1,1,2022,Trabzonspor,,
38,2022-04-30,20:30,Süper Lig,Matchweek 35,Sat,Home,D,2,2,Antalyaspor,40.0,,Uğurcan Çakır,4-1-4-1,Atilla Karaoğlan,Match Report,,9.0,5.0,,0,0,2022,Trabzonspor,,
39,2022-05-06,20:00,Süper Lig,Matchweek 36,Fri,Away,D,1,1,Hatayspor,56.0,,Uğurcan Çakır,4-2-3-1,Volkan Bayarslan,Match Report,,15.0,6.0,,0,1,2022,Trabzonspor,,
40,2022-05-15,16:00,Süper Lig,Matchweek 37,Sun,Home,W,2,1,Altay,71.0,,Uğurcan Çakır,4-2-3-1,Kadir Sağlam,Match Report,,16.0,3.0,,1,1,2022,Trabzonspor,,
41,2022-05-22,16:00,Süper Lig,Matchweek 38,Sun,Away,L,1,3,Başakşehir,59.0,,Uğurcan Çakır,4-2-3-1,Atilla Karaoğlan,Match Report,,14.0,6.0,,0,0,2022,Trabzonspor,,
0,2021-08-15,21:45,Süper Lig,Matchweek 1,Sun,Away,W,1,0,Adana Demirspor,51.0,,Mesut Özil,3-4-3,Ali Şansalan,Match Report,,14.0,4.0,,0,0,2022,Fenerbahce,,
2,2021-08-22,21:45,Süper Lig,Matchweek 2,Sun,Home,W,2,0,Antalyaspor,58.0,,Luiz Gustavo,3-4-3,Halil Umut Meler,Match Report,,21.0,7.0,,0,0,2022,Fenerbahce,,
4,2021-08-29,21:45,Süper Lig,Matchweek 3,Sun,Away,W,2,0,Altay,60.0,,Luiz Gustavo,3-4-3,Yaşar Kemal Uğurlu,Match Report,,9.0,5.0,,0,0,2022,Fenerbahce,,
5,2021-09-12,17:00,Süper Lig,Matchweek 4,Sun,Home,D,1,1,Sivasspor,72.0,,Mesut Özil,3-4-3,Halis Özkahya,Match Report,,13.0,5.0,,0,0,2022,Fenerbahce,,
7,2021-09-19,19:00,Süper Lig,Matchweek 5,Sun,Away,L,0,2,Başakşehir,63.0,,Luiz Gustavo,3-4-3,Fırat Aydınus,Match Report,,14.0,5.0,,0,0,2022,Fenerbahce,,
8,2021-09-23,20:00,Süper Lig,Matchweek 6,Thu,Home,W,2,1,Giresunspor,52.0,,Mesut Özil,3-4-3,Cüneyt Çakιr,Match Report,,7.0,4.0,,0,0,2022,Fenerbahce,,
9,2021-09-26,16:00,Süper Lig,Matchweek 7,Sun,Away,W,2,1,Hatayspor,34.0,,Luiz Gustavo,3-4-3,Abdulkadir Bitigen,Match Report,,15.0,6.0,,0,0,2022,Fenerbahce,,
11,2021-10-03,16:00,Süper Lig,Matchweek 8,Sun,Home,W,2,1,Kasımpaşa,45.0,,Luiz Gustavo,3-4-1-2,Atilla Karaoğlan,Match Report,,10.0,5.0,,0,0,2022,Fenerbahce,,
12,2021-10-17,19:00,Süper Lig,Matchweek 9,Sun,Away,L,1,3,Trabzonspor,27.0,,Mesut Özil,3-4-1-2,Ali Şansalan,Match Report,,5.0,4.0,,0,0,2022,Fenerbahce,,
14,2021-10-24,19:00,Süper Lig,Matchweek 10,Sun,Home,L,1,2,Alanyaspor,59.0,,Luiz Gustavo,3-4-3,Halil Umut Meler,Match Report,,20.0,5.0,,0,0,2022,Fenerbahce,,
15,2021-10-30,19:00,Süper Lig,Matchweek 11,Sat,Away,L,1,2,Konyaspor,61.0,,Luiz Gustavo,3-4-1-2,Fırat Aydınus,Match Report,,13.0,4.0,,0,0,2022,Fenerbahce,,
17,2021-11-07,19:00,Süper Lig,Matchweek 12,Sun,Home,D,2,2,Kayserispor,70.0,,Mert Yandaş,3-5-2,Cüneyt Çakιr,Match Report,,19.0,4.0,,1,2,2022,Fenerbahce,,
18,2021-11-21,19:00,Süper Lig,Matchweek 13,Sun,Away,W,2,1,Galatasaray,42.0,,Mesut Özil,4-2-3-1,Halil Umut Meler,Match Report,,10.0,6.0,,0,0,2022,Fenerbahce,,
20,2021-11-29,20:00,Süper Lig,Matchweek 14,Mon,Away,D,1,1,Göztepe,59.0,,Mesut Özil,4-2-3-1,Mete Kalkavan,Match Report,,4.0,2.0,,0,0,2022,Fenerbahce,,
21,2021-12-05,19:00,Süper Lig,Matchweek 15,Sun,Home,W,4,0,Rizespor,48.0,,Mesut Özil,3-4-3,Zorbay Küçük,Match Report,,16.0,8.0,,0,0,2022,Fenerbahce,,
23,2021-12-13,20:30,Süper Lig,Matchweek 16,Mon,Away,L,2,3,Gaziantep FK,69.0,,Mesut Özil,3-4-3,Atilla Karaoğlan,Match Report,,14.0,4.0,,0,0,2022,Fenerbahce,,
24,2021-12-19,19:00,Süper Lig,Matchweek 17,Sun,Home,D,2,2,Beşiktaş,41.0,,Mesut Özil,3-4-3,Fırat Aydınus,Match Report,,11.0,5.0,,1,1,2022,Fenerbahce,,
25,2021-12-22,20:00,Süper Lig,Matchweek 18,Wed,Away,D,1,1,Fatih Karagümrük,72.0,,Mesut Özil,4-2-3-1,Erkan Özdamar,Match Report,,29.0,14.0,,1,1,2022,Fenerbahce,,
26,2021-12-26,19:00,Süper Lig,Matchweek 19,Sun,Home,W,2,0,Yeni Mal'spor,66.0,,Mesut Özil,4-1-4-1,Yaşar Kemal Uğurlu,Match Report,,17.0,8.0,,0,0,2022,Fenerbahce,,
27,2022-01-10,20:00,Süper Lig,Matchweek 20,Mon,Home,L,1,2,Adana Demirspor,62.0,,Mert Yandaş,4-1-4-1,Halil Umut Meler,Match Report,,16.0,4.0,,1,1,2022,Fenerbahce,,
28,2022-01-15,19:00,Süper Lig,Matchweek 21,Sat,Away,D,1,1,Antalyaspor,61.0,,Mesut Özil,4-2-3-1,Atilla Karaoğlan,Match Report,,4.0,2.0,,0,0,2022,Fenerbahce,,
29,2022-01-19,20:00,Süper Lig,Matchweek 22,Wed,Home,W,2,1,Altay,61.0,,José Sosa,4-2-3-1,Hüseyin Göçek,Match Report,,18.0,5.0,,0,0,2022,Fenerbahce,,
30,2022-01-22,16:00,Süper Lig,Matchweek 23,Sat,Away,D,1,1,Sivasspor,52.0,,Serdar Aziz,4-4-2,Alper Ulusoy,Match Report,,9.0,3.0,,0,0,2022,Fenerbahce,,
31,2022-02-05,19:00,Süper Lig,Matchweek 24,Sat,Home,L,0,1,Başakşehir,52.0,,José Sosa,4-4-2,Yaşar Kemal Uğurlu,Match Report,,13.0,2.0,,0,0,2022,Fenerbahce,,
32,2022-02-12,16:00,Süper Lig,Matchweek 25,Sat,Away,W,2,1,Giresunspor,55.0,,Altay Bayındır,4-1-4-1,Zorbay Küçük,Match Report,,18.0,2.0,,0,0,2022,Fenerbahce,,
34,2022-02-20,19:00,Süper Lig,Matchweek 26,Sun,Home,W,2,0,Hatayspor,56.0,,Ozan Tufan,4-3-3,Yasin Kol,Match Report,,15.0,6.0,,2,2,2022,Fenerbahce,,
36,2022-02-28,20:00,Süper Lig,Matchweek 27,Mon,Away,W,2,1,Kasımpaşa,45.0,,Altay Bayındır,4-2-3-1,Mete Kalkavan,Match Report,,9.0,2.0,,0,0,2022,Fenerbahce,,
37,2022-03-06,19:00,Süper Lig,Matchweek 28,Sun,Home,D,1,1,Trabzonspor,42.0,,Altay Bayındır,4-2-3-1,Zorbay Küçük,Match Report,,11.0,5.0,,0,0,2022,Fenerbahce,,
38,2022-03-13,19:00,Süper Lig,Matchweek 29,Sun,Away,W,5,2,Alanyaspor,37.0,,Mesut Özil,4-2-3-1,Volkan Bayarslan,Match Report,,18.0,9.0,,1,1,2022,Fenerbahce,,
39,2022-03-20,19:00,Süper Lig,Matchweek 30,Sun,Home,W,2,1,Konyaspor,67.0,,Mesut Özil,4-2-3-1,Halil Umut Meler,Match Report,,26.0,11.0,,0,0,2022,Fenerbahce,,
40,2022-04-02,16:00,Süper Lig,Matchweek 31,Sat,Away,W,4,0,Kayserispor,51.0,,Altay Bayındır,4-2-3-1,Atilla Karaoğlan,Match Report,,17.0,9.0,,0,0,2022,Fenerbahce,,
41,2022-04-10,20:30,Süper Lig,Matchweek 32,Sun,Home,W,2,0,Galatasaray,53.0,,Altay Bayındır,4-2-3-1,Atilla Karaoğlan,Match Report,,8.0,3.0,,0,0,2022,Fenerbahce,,
42,2022-04-16,20:30,Süper Lig,Matchweek 33,Sat,Home,W,2,0,Göztepe,61.0,,Altay Bayındır,4-2-3-1,Yasin Kol,Match Report,,14.0,3.0,,1,1,2022,Fenerbahce,,
43,2022-04-22,20:30,Süper Lig,Matchweek 34,Fri,Away,W,6,0,Rizespor,69.0,,Altay Bayındır,4-2-3-1,Halil Umut Meler,Match Report,,20.0,14.0,,2,2,2022,Fenerbahce,,
44,2022-04-29,20:30,Süper Lig,Matchweek 35,Fri,Home,W,3,2,Gaziantep FK,50.0,,Altay Bayındır,4-2-3-1,Sarper Barış Saka,Match Report,,14.0,6.0,,0,1,2022,Fenerbahce,,
45,2022-05-08,19:00,Süper Lig,Matchweek 36,Sun,Away,D,1,1,Beşiktaş,60.0,,Altay Bayındır,4-2-3-1,Arda Kardeşler,Match Report,,8.0,2.0,,0,0,2022,Fenerbahce,,
46,2022-05-15,19:00,Süper Lig,Matchweek 37,Sun,Home,D,0,0,Fatih Karagümrük,60.0,,Altay Bayındır,4-2-3-1,Halil Umut Meler,Match Report,,16.0,6.0,,0,0,2022,Fenerbahce,,
47,2022-05-21,19:00,Süper Lig,Matchweek 38,Sat,Away,W,5,0,Yeni Mal'spor,69.0,,Altay Bayındır,4-2-3-1,Volkan Bayarslan,Match Report,,29.0,12.0,,0,0,2022,Fenerbahce,,
0,2021-08-16,19:15,Süper Lig,Matchweek 1,Mon,Away,W,1,0,Sivasspor,49.0,,Ibrahim Šehić,4-3-3,Fırat Aydınus,Match Report,,14.0,5.0,,0,0,2022,Konyaspor,,
1,2021-08-22,19:15,Süper Lig,Matchweek 2,Sun,Home,W,2,1,Başakşehir,44.0,,Ibrahim Šehić,4-3-3,Halis Özkahya,Match Report,,15.0,6.0,,0,0,2022,Konyaspor,,
2,2021-08-27,21:45,Süper Lig,Matchweek 3,Fri,Away,D,1,1,Adana Demirspor,55.0,,Ibrahim Šehić,4-3-3,Alper Ulusoy,Match Report,,9.0,2.0,,0,0,2022,Konyaspor,,
3,2021-09-11,17:00,Süper Lig,Matchweek 4,Sat,Home,W,3,1,Altay,49.0,,Ibrahim Šehić,4-3-3,Erkan Özdamar,Match Report,,14.0,5.0,,0,0,2022,Konyaspor,,
4,2021-09-19,13:30,Süper Lig,Matchweek 5,Sun,Away,D,0,0,Giresunspor,46.0,,Ibrahim Šehić,4-3-3,Volkan Bayarslan,Match Report,,9.0,0.0,,0,0,2022,Konyaspor,,
5,2021-09-23,17:00,Süper Lig,Matchweek 6,Thu,Home,D,2,2,Trabzonspor,61.0,,Ibrahim Šehić,4-3-3,Halil Umut Meler,Match Report,,31.0,10.0,,0,0,2022,Konyaspor,,
6,2021-09-27,20:00,Süper Lig,Matchweek 7,Mon,Away,D,2,2,Kasımpaşa,38.0,,Ibrahim Šehić,4-3-3,Tugay Kaan Numanoğlu,Match Report,,9.0,5.0,,0,0,2022,Konyaspor,,
7,2021-10-02,13:30,Süper Lig,Matchweek 8,Sat,Home,D,1,1,Alanyaspor,55.0,,Ibrahim Šehić,4-3-3,Mert Güzenge,Match Report,,17.0,4.0,,0,0,2022,Konyaspor,,
8,2021-10-17,16:00,Süper Lig,Matchweek 9,Sun,Away,L,0,1,Galatasaray,56.0,,Ibrahim Šehić,4-4-2,Arda Kardeşler,Match Report,,16.0,3.0,,0,0,2022,Konyaspor,,
9,2021-10-23,16:00,Süper Lig,Matchweek 10,Sat,Home,W,2,0,Kayserispor,47.0,,Ibrahim Šehić,4-4-2,Sarper Barış Saka,Match Report,,11.0,3.0,,0,0,2022,Konyaspor,,
10,2021-10-30,19:00,Süper Lig,Matchweek 11,Sat,Home,W,2,1,Fenerbahçe,39.0,,Ibrahim Šehić,4-4-2,Fırat Aydınus,Match Report,,16.0,5.0,,0,0,2022,Konyaspor,,
11,2021-11-07,13:30,Süper Lig,Matchweek 12,Sun,Away,W,2,0,Göztepe,59.0,,Ibrahim Šehić,4-2-3-1,Yasin Kol,Match Report,,20.0,10.0,,0,0,2022,Konyaspor,,
12,2021-11-21,16:00,Süper Lig,Matchweek 13,Sun,Home,W,3,0,Rizespor,51.0,,Ibrahim Šehić,4-2-3-1,Atilla Karaoğlan,Match Report,,14.0,5.0,,0,0,2022,Konyaspor,,
13,2021-11-28,13:30,Süper Lig,Matchweek 14,Sun,Away,L,2,3,Gaziantep FK,60.0,,Ibrahim Šehić,4-2-3-1,Fırat Aydınus,Match Report,,13.0,8.0,,1,1,2022,Konyaspor,,
14,2021-12-06,20:00,Süper Lig,Matchweek 15,Mon,Home,D,0,0,Yeni Mal'spor,55.0,,Ibrahim Šehić,4-2-3-1,Alper Ulusoy,Match Report,,17.0,5.0,,0,0,2022,Konyaspor,,
15,2021-12-11,13:30,Süper Lig,Matchweek 16,Sat,Away,W,4,1,Fatih Karagümrük,32.0,,Ibrahim Šehić,4-4-1-1,Yaşar Kemal Uğurlu,Match Report,,11.0,6.0,,0,0,2022,Konyaspor,,
16,2021-12-18,16:00,Süper Lig,Matchweek 17,Sat,Home,W,1,0,Antalyaspor,60.0,,Ibrahim Šehić,4-4-1-1,Arda Kardeşler,Match Report,,14.0,3.0,,0,0,2022,Konyaspor,,
17,2021-12-22,17:00,Süper Lig,Matchweek 18,Wed,Away,W,3,1,Hatayspor,52.0,,Ibrahim Šehić,4-4-1-1,Halil Umut Meler,Match Report,,12.0,5.0,,0,0,2022,Konyaspor,,
18,2021-12-27,20:00,Süper Lig,Matchweek 19,Mon,Home,W,1,0,Beşiktaş,46.0,,Ibrahim Šehić,4-2-3-1,Mete Kalkavan,Match Report,,12.0,4.0,,0,0,2022,Konyaspor,,
19,2022-01-09,13:30,Süper Lig,Matchweek 20,Sun,Home,L,0,1,Sivasspor,62.0,,Ibrahim Šehić,4-2-3-1,Cüneyt Çakιr,Match Report,,15.0,4.0,,0,0,2022,Konyaspor,,
20,2022-01-18,20:00,Süper Lig,Matchweek 22,Tue,Home,W,1,0,Adana Demirspor,56.0,,Ibrahim Šehić,4-2-3-1,Yasin Kol,Match Report,,20.0,8.0,,0,0,2022,Konyaspor,,
21,2022-01-23,16:00,Süper Lig,Matchweek 23,Sun,Away,W,1,0,Altay,51.0,,Ibrahim Šehić,4-2-3-1,Abdulkadir Bitigen,Match Report,,13.0,4.0,,1,1,2022,Konyaspor,,
22,2022-02-04,20:00,Süper Lig,Matchweek 24,Fri,Home,W,1,0,Giresunspor,56.0,,Abdülkerim Bardakcı,4-2-3-1,Cüneyt Çakιr,Match Report,,13.0,3.0,,0,0,2022,Konyaspor,,
23,2022-02-13,19:00,Süper Lig,Matchweek 25,Sun,Away,L,1,2,Trabzonspor,54.0,,Ibrahim Šehić,4-2-3-1,Mete Kalkavan,Match Report,,11.0,4.0,,0,0,2022,Konyaspor,,
24,2022-02-18,20:00,Süper Lig,Matchweek 26,Fri,Home,D,4,4,Kasımpaşa,58.0,,Ibrahim Šehić,4-2-3-1,Umit Öztürk,Match Report,,14.0,6.0,,1,1,2022,Konyaspor,,
25,2022-02-22,20:00,Süper Lig,Matchweek 21,Tue,Away,L,1,2,Başakşehir,55.0,,Ibrahim Šehić,4-2-3-1,Sarper Barış Saka,Match Report,,12.0,4.0,,0,0,2022,Konyaspor,,
26,2022-02-27,16:00,Süper Lig,Matchweek 27,Sun,Away,L,1,5,Alanyaspor,49.0,,Ibrahim Šehić,4-2-3-1,Volkan Bayarslan,Match Report,,14.0,3.0,,0,0,2022,Konyaspor,,
27,2022-03-05,19:00,Süper Lig,Matchweek 28,Sat,Home,W,2,0,Galatasaray,45.0,,Ibrahim Šehić,4-2-3-1,Ali Şansalan,Match Report,,12.0,6.0,,0,0,2022,Konyaspor,,
28,2022-03-13,13:30,Süper Lig,Matchweek 29,Sun,Away,W,3,2,Kayserispor,46.0,,Ibrahim Šehić,4-2-3-1,Yasin Kol,Match Report,,18.0,10.0,,1,1,2022,Konyaspor,,
29,2022-03-20,19:00,Süper Lig,Matchweek 30,Sun,Away,L,1,2,Fenerbahçe,33.0,,Ibrahim Šehić,4-2-3-1,Halil Umut Meler,Match Report,,7.0,2.0,,0,0,2022,Konyaspor,,
30,2022-04-03,16:00,Süper Lig,Matchweek 31,Sun,Home,W,3,0,Göztepe,42.0,,Ibrahim Šehić,4-2-3-1,Erkan Özdamar,Match Report,,17.0,7.0,,0,0,2022,Konyaspor,,
31,2022-04-09,16:00,Süper Lig,Matchweek 32,Sat,Away,L,1,2,Rizespor,52.0,,Ibrahim Šehić,4-2-3-1,Ali Şansalan,Match Report,,9.0,3.0,,0,0,2022,Konyaspor,,
32,2022-04-17,13:30,Süper Lig,Matchweek 33,Sun,Home,W,4,1,Gaziantep FK,56.0,,Ibrahim Šehić,4-2-3-1,Volkan Bayarslan,Match Report,,20.0,9.0,,0,0,2022,Konyaspor,,
33,2022-04-24,16:00,Süper Lig,Matchweek 34,Sun,Away,W,3,2,Yeni Mal'spor,64.0,,Ibrahim Šehić,4-2-3-1,Sarper Barış Saka,Match Report,,13.0,7.0,,0,0,2022,Konyaspor,,
34,2022-04-30,16:00,Süper Lig,Matchweek 35,Sat,Home,L,1,2,Fatih Karagümrük,50.0,,Ibrahim Šehić,4-2-3-1,Arda Kardeşler,Match Report,,15.0,2.0,,0,0,2022,Konyaspor,,
35,2022-05-09,20:00,Süper Lig,Matchweek 36,Mon,Away,L,2,3,Antalyaspor,50.0,,Ibrahim Šehić,4-2-3-1,Mete Kalkavan,Match Report,,15.0,4.0,,1,1,2022,Konyaspor,,
36,2022-05-15,19:00,Süper Lig,Matchweek 37,Sun,Home,W,3,1,Hatayspor,66.0,,Nejc Skubic,4-2-3-1,Erkan Özdamar,Match Report,,22.0,7.0,,0,0,2022,Konyaspor,,
37,2022-05-21,19:00,Süper Lig,Matchweek 38,Sat,Away,D,1,1,Beşiktaş,46.0,,Ibrahim Šehić,4-2-3-1,Sarper Barış Saka,Match Report,,12.0,1.0,,0,0,2022,Konyaspor,,
0,2021-08-15,19:15,Süper Lig,Matchweek 1,Sun,Home,L,0,1,Alanyaspor,58.0,,Edin Višća,4-2-3-1,Yaşar Kemal Uğurlu,Match Report,,17.0,5.0,,0,0,2022,Istanbul Basaksehir,,
1,2021-08-22,19:15,Süper Lig,Matchweek 2,Sun,Away,L,1,2,Konyaspor,56.0,,Volkan Babacan,4-2-3-1,Halis Özkahya,Match Report,,13.0,4.0,,0,0,2022,Istanbul Basaksehir,,
2,2021-08-28,19:15,Süper Lig,Matchweek 3,Sat,Home,L,0,1,Kayserispor,63.0,,Mahmut Tekdemir,4-2-3-1,Mustafa Öğretmenoğlu,Match Report,,14.0,2.0,,0,0,2022,Istanbul Basaksehir,,
3,2021-09-12,20:00,Süper Lig,Matchweek 4,Sun,Away,L,1,2,Göztepe,49.0,,Mahmut Tekdemir,4-1-4-1,Tugay Kaan Numanoğlu,Match Report,,22.0,7.0,,0,0,2022,Istanbul Basaksehir,,
4,2021-09-19,19:00,Süper Lig,Matchweek 5,Sun,Home,W,2,0,Fenerbahçe,37.0,,Mahmut Tekdemir,4-1-4-1,Fırat Aydınus,Match Report,,6.0,2.0,,0,0,2022,Istanbul Basaksehir,,
5,2021-09-22,17:00,Süper Lig,Matchweek 6,Wed,Away,L,0,1,Gaziantep FK,68.0,,Edin Višća,4-1-4-1,Mete Kalkavan,Match Report,,15.0,2.0,,0,0,2022,Istanbul Basaksehir,,
6,2021-09-26,16:00,Süper Lig,Matchweek 7,Sun,Home,W,3,0,Rizespor,58.0,,Mahmut Tekdemir,4-1-4-1,Arda Kardeşler,Match Report,,15.0,8.0,,0,0,2022,Istanbul Basaksehir,,
